faction,hero_name,move_speed,attack_damage,attack_range,attack_speed,max_health,max_mana,armor,skill_name,skill_description,skill_target_count,flavor_text,rarity,target_priority,skill_target_priority
human,ArchMage,45,35,80,0.8,90,150,0,Arcane Surge,"Deals 35 damage to 3x3 area, 2 turn cooldown",1,Library dust never settles,Epic,FAR,CLOSE
human,ArcherMan,60,45,64,1.2,100,0,0,Precision Shot,"Next attack deals 90 damage, 3 turn cooldown",1,Bullseye through history,Common,FAR,CLOSE
human,CavalierMan,75,55,16,1,130,0,10,Charge,"Moves 3 tiles, deals 110 damage",1,Hooves write war poems,Rare,CLOSE,CLOSE
human,CrossBowMan,45,60,48,0.7,110,0,5,Piercing Bolt,Hits 2 enemies in line for 60 each,1,Reloading is an art,Common,FAR,CLOSE
human,HalberMan,60,50,32,1.1,120,0,15,Whirlwind,Deals 50 to adjacent enemies,1,Spins like a dervish,Uncommon,CLOSE,CLOSE
human,HorseMan,75,40,16,1.3,100,0,5,Trample,Deals 20 when moving through enemies,1,Never learned to stop,Common,CLOSE,CLOSE
human,KingMan,45,70,16,0.9,160,100,15,Royal Command,+20 damage to allies for 2 turns,1,Crown weighs heavy,Legendary,ALLY,CLOSE
human,Mage,45,30,64,0.9,80,120,0,Frost Nova,"Freezes enemies for 1 turn, 3 tile range",1,Winter's impatient child,Rare,FAR,CLOSE
human,PrinceMan,60,55,16,1.1,140,80,10,Valor Strike,"Heals self for 30, 2 turn cooldown",1,Still proving himself,Epic,CLOSE,CLOSE
human,ShieldMan,45,40,16,0.8,150,0,20,Shield Wall,Reduces damage by 15 for allies,1,Wall with a heartbeat,Rare,ALLY,CLOSE
human,SpearMan,60,45,32,1,110,0,10,Phalanx,+10 damage when adjacent to SpearMen,1,Many points make might,Common,CLOSE,CLOSE
dwarf,ArmoredBearRider,45,65,16,0.8,180,0,25,Ursine Roar,Reduces enemy damage by 10 for 2 turns,1,Bear necessities,Epic,STRONG,CLOSE
dwarf,BearRider,60,60,16,1,160,0,15,Maul,Deals 120 with 25% stun chance,1,Hugs hurt,Uncommon,CLOSE,CLOSE
dwarf,Demolitionist,45,70,48,0.6,90,0,0,Dynamite Toss,"Deals 70 in 3x3 area, 3 turn cooldown",1,Safety third,Rare,FAR,CLOSE
dwarf,Grenade,0,0,0,0,1,0,0,Explosion,Deals 100 on death,1,One-time friend,Common,WEAK,CLOSE
dwarf,Grenadier,45,55,64,0.7,100,0,5,Grenade Volley,Hits 3 random enemies for 55,1,Juggler of death,Uncommon,FAR,CLOSE
dwarf,Hunter,60,50,48,1.2,110,0,10,Tracking Shot,"Cannot miss, 2 turn cooldown",1,Always finds you,Rare,FAR,CLOSE
dwarf,King,45,75,16,0.7,200,100,20,Mountain's Might,+50 health for 3 turns,1,Beard of authority,Legendary,STRONG,CLOSE
dwarf,Miner,45,40,16,1.1,120,0,5,Tunnel,"Teleports 4 tiles, 3 turn cooldown",1,Digs his own path,Common,CLOSE,CLOSE
